top_type,top_color,top_usage,top_season,bottom_type,bottom_color,bottom_usage,bottom_season,shoe_type,shoe_color,shoe_usage,shoe_season
Tshirts,Grey,Sports,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,White,Casual,Fall
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Green,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Black,Sports,Fall,Track Pants,Navy Blue,Sports,Summer,Casual Shoes,Blue,Casual,Fall
Tshirts,Green,Sports,Fall,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall
Tshirts,Blue,Sports,Fall,Shorts,White,Casual,Fall,Casual Shoes,White,Casual,Summer
Shirts,White,Casual,Summer,Trousers,Charcoal,Formal,Fall,Sports Shoes,Black,Sports,Spring
Tshirts,Pink,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,White,Casual,Fall
Shirts,Orange,Formal,Summer,Shorts,Black,Sports,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,White,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Beige,Casual,Winter
Tshirts,White,Casual,Summer,Track Pants,Grey,Casual,Summer,Casual Shoes,White,Casual,Summer
Tshirts,Grey,Casual,Summer,Trousers,Grey,Formal,Fall,Casual Shoes,Red,Sports,Summer
Jackets,Red,Sports,Fall,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Summer
Shirts,White,Formal,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Summer,Formal Shoes,Black,Formal,Winter
Tshirts,Burgundy,Casual,Summer,Trousers,Beige,Casual,Fall,Sports Shoes,White,Casual,Summer
Tshirts,Purple,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Grey,Casual,Winter
Shirts,Brown,Casual,Fall,Trousers,Black,Formal,Fall,Sports Shoes,White,Sports,Summer
Shirts,Olive,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Fall
Tshirts,White,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,White,Casual,Summer
Shirts,Purple,Formal,Fall,Shorts,White,Casual,Fall,Sports Shoes,Grey,Sports,Fall
Shirts,Olive,Casual,Summer,Trousers,Grey,Casual,Summer,Casual Shoes,Charcoal,Casual,Fall
Tshirts,Brown,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,White,Casual,Summer
Tshirts,Maroon,Sports,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Winter
Shirts,White,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Brown,Casual,Summer
Tshirts,Purple,Casual,Summer,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Fall
Tshirts,Green,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Silver,Sports,Summer
Shirts,Red,Casual,Summer,Track Pants,Brown,Casual,Fall,Sports Shoes,White,Sports,Summer
Tshirts,Blue,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Green,Casual,Summer
Shirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Formal Shoes,Black,Formal,Winter
Tshirts,Orange,Casual,Fall,Shorts,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Fall
Shirts,Grey,Casual,Fall,Shorts,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter
Tshirts,Navy Blue,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,White,Casual,Fall
Shirts,Navy Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Purple,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Grey,Sports,Summer
Shirts,Pink,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer
Shirts,White,Casual,Fall,Trousers,Black,Casual,Fall,Casual Shoes,Mushroom Brown,Casual,Winter
Tshirts,Navy Blue,Sports,Summer,Shorts,Beige,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Orange,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall
Shirts,White,Formal,Summer,Jeans,Black,Casual,Fall,Casual Shoes,White,Casual,Fall
Tshirts,Grey,Sports,Summer,Track Pants,Black,Casual,Summer,Sports Shoes,Silver,Sports,Summer
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall
Shirts,Red,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,White,Casual,Summer,Trousers,Khaki,Formal,Fall,Formal Shoes,Black,Formal,Summer
Tshirts,Navy Blue,Casual,Summer,Shorts,Navy Blue,Casual,Summer,Sports Shoes,White,Sports,Summer
Tshirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,Blue,Casual,Fall,Shorts,White,Casual,Summer,Casual Shoes,Brown,Casual,Summer
Tshirts,Black,Sports,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,Pink,Casual,Summer,Shorts,Black,Casual,Summer,Sports Shoes,Grey,Sports,Summer
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Winter
Tshirts,Black,Casual,Summer,Trousers,Grey,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Red,Sports,Summer
Tshirts,Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Black,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,Grey,Casual,Summer,Track Pants,Navy Blue,Sports,Summer,Casual Shoes,Red,Casual,Winter
Tshirts,Black,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Winter
Tshirts,Yellow,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Casual,Summer
Tshirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Blue,Sports,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,Navy Blue,Casual,Fall,Jeans,Black,Casual,Fall,Sports Shoes,White,Sports,Summer
Tshirts,Green,Casual,Summer,Shorts,Grey,Sports,Summer,Sports Shoes,White,Sports,Summer
Tshirts,White,Casual,Summer,Track Pants,Black,Sports,Fall,Formal Shoes,Black,Formal,Winter
Sweatshirts,Purple,Casual,Fall,Jeans,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer
Shirts,Grey,Casual,Fall,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Fall
Tshirts,Blue,Casual,Fall,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Summer
Tshirts,Purple,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall
Shirts,Yellow,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Summer
Tshirts,Navy Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Summer
Tshirts,Black,Casual,Summer,Trousers,Brown,Casual,Summer,Casual Shoes,Grey,Casual,Winter
Tshirts,Green,Casual,Fall,Shorts,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer
Shirts,Red,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Black,Casual,Fall
Shirts,Purple,Casual,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,Red,Casual,Winter
Tshirts,Navy Blue,Casual,Fall,Track Pants,Black,Casual,Fall,Sports Shoes,Blue,Sports,Fall
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Blue,Casual,Fall,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Summer
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall
Tshirts,Navy Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Brown,Casual,Winter
Shirts,Black,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,Black,Sports,Spring
Shirts,Purple,Formal,Fall,Trousers,Beige,Casual,Fall,Formal Shoes,Black,Formal,Winter
Tshirts,Pink,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Grey,Casual,Fall,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Summer
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall
Sweatshirts,Purple,Casual,Fall,Shorts,Grey,Sports,Summer,Sports Shoes,White,Sports,Summer
Tshirts,Grey,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer
Shirts,Red,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,Silver,Sports,Summer
Shirts,Brown,Casual,Summer,Trousers,Grey,Casual,Fall,Casual Shoes,White,Casual,Summer
Sweatshirts,Black,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall
Jackets,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer
Kurtas,Maroon,Ethnic,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,Purple,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Blue,Casual,Summer
Tshirts,Purple,Casual,Summer,Shorts,Black,Sports,Winter,Sports Shoes,Black,Sports,Summer
Shirts,Navy Blue,Casual,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Fall
Shirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Summer
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,Black,Casual,Summer,Track Pants,Brown,Casual,Fall,Sports Shoes,Black,Sports,Spring
Tshirts,Yellow,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,Blue,Casual,Fall
Tshirts,White,Casual,Fall,Shorts,White,Casual,Summer,Sports Shoes,Black,Sports,Spring
Shirts,Red,Formal,Fall,Trousers,Black,Formal,Summer,Casual Shoes,White,Casual,Summer
Tshirts,Blue,Casual,Summer,Trousers,Brown,Casual,Summer,Casual Shoes,White,Casual,Summer
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Casual,Fall,Sports Shoes,White,Sports,Fall
Tshirts,Navy Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall
Shirts,Grey,Casual,Fall,Trousers,Black,Formal,Summer,Casual Shoes,White,Casual,Fall
Sweatshirts,Purple,Casual,Fall,Jeans,Navy Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Black,Sports,Fall,Shorts,Navy Blue,Sports,Fall,Casual Shoes,White,Casual,Summer
